0	113053	86303
1	47117	203119
2	183904	260986
3	857064	620364
4	846	8291
5	724801	238538
6	110407	942579
7	877573	877923
8	577187	737800
9	193837	111969
10	133360	303473
11	924644	256412
12	696607	704683
13	553751	698005
14	185274	624359
15	709833	559259
16	587921	890014
17	296693	159704
18	793287	261866
19	209916	583646
20	826302	674465
21	65134	513117
22	968375	997435
23	630560	398689
24	936010	433449
25	674634	520508
26	643076	244209
27	3945	587608
28	658627	311
29	131004	320649
30	343502	766377
31	268604	373134
32	327306	534371
33	275624	141877
34	8613	245906
35	720457	791804
36	226158	94405
37	347912	803019
38	134548	363476
39	32229	88698
40	101012	878875
41	998702	255198
42	123419	142459
43	81191	678301
44	852336	920503
45	652189	483368
46	389026	91030
47	424331	716584
48	238799	979620
49	769271	310658
50	78136	259623
51	621484	158902
52	82967	792927
53	437218	599073
54	870073	693733
55	331065	328194
56	905685	801669
57	83429	875792
58	869360	613007
59	372686	681807
60	783149	651982
61	653780	794538
62	366188	194064
63	326891	877627
64	805810	654874
65	911981	327524
66	138681	665220
67	853889	777713
68	824817	107614
69	44067	988664
70	868504	247536
71	416708	440423
72	594664	973566
73	353250	849147
74	379683	673015
75	787141	243570
76	246271	585952
77	917621	740920
78	183265	85836
79	160855	887405
80	928805	986831
81	279261	54631
82	760960	612189
83	124678	151398
84	447600	208983
85	354636	580854
86	480988	890435
87	101683	133894
88	634628	304836
89	412282	930351
90	594346	402205
91	306828	134004
92	806005	710959
93	750048	28120
94	912521	85155
95	707217	247275
96	130073	476416
97	30494	956826
98	176929	460115
99	695260	537868
100	670552	922814
101	568401	54209
102	970565	363019
103	392201	487318
104	967374	793667
105	225968	829571
106	466027	648661
107	450689	768762
108	320140	358143
109	190983	506235
110	936418	31324
111	476927	172131
112	292901	179229
113	580846	128678
114	223937	266426
115	26357	897330
116	439038	85555
117	689123	961773
118	478284	13649
119	206502	617618
120	149257	24860
121	938570	250909
122	187031	311925
123	807396	708328
124	526803	943177
125	475381	367503
126	857331	457230
127	328016	498765
128	514218	836192
129	436566	270964
130	478990	423723
131	23369	644089
132	71738	360665
133	213219	395316
134	768345	337798
135	648310	264842
136	729951	872159
137	791187	409520
138	972526	486553
139	733061	459551
140	242422	206349
141	708804	543831
142	503753	583229
143	384605	668808
144	81316	230703
145	884039	673338
146	4386	968870
147	83297	976073
148	849267	445523
149	793638	61056
150	248273	895359
151	864636	439174
152	106163	452554
153	127039	347192
154	942146	436144
155	128670	109541
156	819954	113887
157	667669	929059
158	477608	697496
159	308374	316700
160	935295	174372
161	771	270266
162	188036	444536
163	563733	262330
164	576459	199793
165	836665	120678
166	72428	699256
167	870769	589444
168	843650	16773
169	541651	905056
170	127086	942289
171	239633	798631
172	974906	698380
173	994886	129833
174	927108	363087
175	202489	566592
176	781342	4145
177	254504	462523
178	860562	86802
179	14763	336911
180	968645	391687
181	689923	41072
182	967779	389328
183	869077	106919
184	18892	669195
185	786463	765653
186	630024	995155
187	573438	561417
188	846519	472535
189	341354	280117
190	378148	676309
191	857677	27683
192	178251	108835
193	579601	154401
194	323504	345578
195	441321	519752
196	848896	452208
197	462664	983876
198	290025	314421
199	26017	843650
200	918250	229028
201	645306	551818
202	687325	772394
203	901295	38523
204	987261	920931
205	875823	746623
206	145821	832378
207	906921	943530
208	110687	854986
209	566834	697093
210	950391	140016
211	904592	393325
212	52814	329818
213	768786	175335
214	279703	516185
215	764895	955754
216	690172	29579
217	597501	82322
218	289941	542931
219	610380	575728
220	455526	925850
221	913018	544508
222	829054	959819
223	119584	790605
224	633668	611816
225	558853	673843
226	66435	560642
227	466000	47407
228	866026	770637
229	130904	752946
230	135279	693051
231	555932	676411
232	605142	181836
233	229418	756062
234	306411	956600
235	172855	978524
236	644055	352819
237	532463	97977
238	285120	620261
239	417385	519881
240	586405	343920
241	66346	536251
242	108910	850039
243	812122	698498
244	82318	793121
245	857452	507694
246	971624	580162
247	2759	527108
248	42206	739338
249	476717	168798
250	437187	316035
251	129029	193355
252	167997	574993
253	174411	200829
254	618050	944998
255	776545	876647
256	934852	99467
257	854468	290836
258	603855	433254
259	993511	733309
260	798059	745388
261	172054	193824
262	318616	768302
263	172254	732294
264	126425	681098
265	881536	782421
266	754466	205597
